SpeakerId	Gender	Age	LivingCountry	Accent	Native
B96ADAE4-D9C9-434D-A184-38F1C502775D	Female	30	Philippines	Pangasinan	True
924C354B-AD58-4B4E-B4E5-7A02D1AAFBCE	Male	23	Philippines	Bulacan	True
2A49118A-FAB0-44B4-B8D0-AC187E74D471	Female	33	Philippines	National Capital Region (Metro Manila)	True
882145B4-2242-46F5-BE34-08783B7C919C	Female	32	Philippines	Laguna	True
7B814CF3-B4E9-418B-A2D5-42F48F457A58	Female	30	Philippines	Aurora	True
282875DE-0DE9-4AD6-AB7C-3CC179026141	Male	35	Philippines	Guimaras	True
DB2C7182-A0C0-4BBB-A070-143029D751FA	Male	33	Philippines	National Capital Region (Metro Manila)	True
57881FC4-A7E1-45E5-90B5-CF8D8D54BB0E	Male	38	Philippines	National Capital Region (Metro Manila)	True
6106C194-2F98-4C04-B0DC-666E2B3D10B9	Female	28	Philippines	Cavite	True
554410AB-C7F5-4E14-AF19-1C60D0040FD4	Female	42	Philippines	National Capital Region (Metro Manila)	True
D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	Male	21	Philippines	Guimaras	True
