SpeakerId	Gender	Age	LivingCountry	Accent	Native
8737EDC6-3419-4ADD-A945-A6E6E2F897CE	Female	36	Philippines	National Capital Region (Metro Manila)	True
E1EBF390-D319-46CE-96D2-1CEBC0F7396C	Female	33	Philippines	National Capital Region (Metro Manila)	True
16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9	Female	31	Philippines	National Capital Region (Metro Manila)	True
882145B4-2242-46F5-BE34-08783B7C919C	Female	32	Philippines	Laguna	True
B96ADAE4-D9C9-434D-A184-38F1C502775D	Female	30	Philippines	Pangasinan	True
84E54BBA-78F8-4104-82A1-C5919E4EFF7B	Female	35	Philippines	Albay	True
7C995739-18AF-4AA4-B492-E1EE6B431491	Female	36	Philippines	Rizal	True
434663A0-39DB-4D5D-828D-B13C46951B49	Male	32	Philippines	Pampanga	True
282875DE-0DE9-4AD6-AB7C-3CC179026141	Male	35	Philippines	Guimaras	True
6106C194-2F98-4C04-B0DC-666E2B3D10B9	Female	28	Philippines	Cavite	True
780AC650-51E6-4C5A-BA8B-A729F45760D6	Male	24	Philippines	Quezon	True
