TranscriptionId	Channels	Channel	StartTime	EndTime	SegmentDuration	Transcription	RecordingId	Domain	Duration	SampleRate	BitDepth	RelativeFileName	LeftChannelSpeakerId	LeftChannelNative	LeftChannelRole	LeftChannelSpeakerAge	LeftChannelSpeakerGender	LeftChannelSpeakerLivingCountry	LeftChannelSpeakerAccent	RightChannelSpeakerId	RightChannelNative	RightChannelRole	RightChannelSpeakerAge	RightChannelSpeakerGender	RightChannelSpeakerLivingCountry	RightChannelSpeakerAccent
376048	2	1	0:00:00.000	0:00:08.124	00:00:8.124	Magandang araw at maraming salamat sa pagtawag sa "Teleco Pilipinas" ito po si "Samantha" ano pong maitutulong ko	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376049	2	2	0:00:09.431	0:00:16.948	00:00:7.517	[filler/] Magandang umaga [uni/] [filler/] [n_s/] Gusto ko lang sanang humingi ng impormasyon tungkol dun sa bago niyong [filler/] [eng_start/] "Five [eng_end/] G. [eng_start/] Program" [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376050	2	1	0:00:17.485	0:00:25.978	00:00:8.493	[filler/] [filler/] Sige po at matutulungan ko naman po kayo sa tungkol dito at hihingiin ko lang po sana yung numero ng inyong telepono	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376051	2	2	0:00:27.025	0:00:32.690	00:00:5.665	[filler/] [eng_start/] Eight two two one four five three six six nine [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376052	2	1	0:00:33.550	0:00:38.011	00:00:4.461	Maraming salamat po at hingin ko lang din po sana ang buo niyong pangalan	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376053	2	2	0:00:39.271	0:00:43.623	00:00:4.352	[uni/] [n_s/] [eng_start/] Six six five [eng_end/] [uni/]	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376054	2	1	0:00:43.841	0:00:50.831	00:00:6.990	[filler/] [filler/] Maraming salamat po ngayon [filler/] paki-kumpirma naman po ang petsa ng inyong kapanganakan	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376055	2	2	0:00:52.039	0:00:56.474	00:00:4.435	[uni/] [eng_start/] "December" five nineteen sixty-five [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376056	2	1	0:00:58.040	0:01:04.778	00:00:6.738	[eng_start/] Okay [eng_end/] po at pakikumpirma rin po ang pet- ang [eng_start/] address [eng_end/] po ninyo na nasa [eng_start/] system [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
376057	2	2	0:01:05.927	0:01:15.565	00:00:9.638	[filler/] [filler/] [eng_start/] Block ten lot eight "Sampaloc Street Paranaque City" [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43	telco	00:04:13.699996948242188	8000	16	Audio/227c3108-ed81-4c42-b6f9-988f503fcc43.wav	8737EDC6-3419-4ADD-A945-A6E6E2F897CE	True	agent	36	Female	Philippines	National Capital Region (Metro Manila)	7C995739-18AF-4AA4-B492-E1EE6B431491	True	customer	36	Female	Philippines	Rizal
