SpeakerId	Gender	Age	LivingCountry	Accent	Native
57881FC4-A7E1-45E5-90B5-CF8D8D54BB0E	Male	38	Philippines	National Capital Region (Metro Manila)	True
7C995739-18AF-4AA4-B492-E1EE6B431491	Female	36	Philippines	Rizal	True
FBC06E9C-3120-4E46-81F7-D20C38838FA7	Female	32	Philippines	Bulacan	True
B96ADAE4-D9C9-434D-A184-38F1C502775D	Female	30	Philippines	Pangasinan	True
924C354B-AD58-4B4E-B4E5-7A02D1AAFBCE	Male	23	Philippines	Bulacan	True
F402780F-5369-4994-AE8C-447D13E8B9A9	Male	24	Philippines	Pampanga	True
16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9	Female	31	Philippines	National Capital Region (Metro Manila)	True
06026B58-2CFF-4041-AB6F-4026942FAEDD	Male	32	Philippines	Cavite	True
18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	Male	28	Philippines	Cavite	True
6C5007ED-75E7-4FBC-BB11-47222FDCAD04	Female	33	Philippines	National Capital Region (Metro Manila)	True
8BB608CF-8954-4D62-A014-252F45054D60	Male	22	Philippines	Bulacan	True
84E54BBA-78F8-4104-82A1-C5919E4EFF7B	Female	35	Philippines	Albay	True
DB2C7182-A0C0-4BBB-A070-143029D751FA	Male	33	Philippines	National Capital Region (Metro Manila)	True
E1EBF390-D319-46CE-96D2-1CEBC0F7396C	Female	33	Philippines	National Capital Region (Metro Manila)	True
